Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a56e1ec55ebded9eada53c88f5a7d97d8963823e22f5c06e6fff77189994278e,2020-12,Gwent Police,Gwent Police,-2.930412,51.599012,On or near FISHER CLOSE,W01001664,Newport 010A,Investigation complete; no suspect identified
260ba489e0187c1f04484db3bfcbb2335a132ba0c3fe5b261dca54da51038d81,2020-12,Gwent Police,Gwent Police,-3.099298,51.605779,On or near COMMERCIAL STREET,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
c66eafc9f480b011ede0c5090c2acc064e43a37f300251e05b3208af85be6333,2020-12,Gwent Police,Gwent Police,-3.232326,51.645928,On or near OLD SCHOOL GRANGE,W01001365,Caerphilly 012C,Investigation complete; no suspect identified
9fe907129045390c197ffe83ac8f2c840aced8e26c1f1a034d02a3fc058088d3,2020-12,Gwent Police,Gwent Police,-2.988447,51.576814,On or near TEMPLE STREET,W01001659,Newport 018A,Investigation complete; no suspect identified
0ce746ff9d83a72e972fe257239cd18800962f1c237f39b6003f5eff37533ce9,2020-12,Gwent Police,Gwent Police,-3.020809,51.652453,On or near Pedestrian Subway,W01001506,Torfaen 010A,Investigation complete; no suspect identified
d564e670262ec9548cfd1f1ad08ca21b5ec7adc6e3ddc0a0a5ffe826003edaa7,2020-12,Gwent Police,Gwent Police,-2.987910,51.591295,On or near Petrol Station,W01001693,Newport 013E,Investigation complete; no suspect identified
b9f7b5f08a112aa66f5d1ae90c936c899595610381dfa1dedc86c5bb1535a60b,2020-12,Gwent Police,Gwent Police,-3.014801,51.643649,On or near Supermarket,W01001504,Torfaen 013A,Investigation complete; no suspect identified
92e373c6689caf97c0e5836f789978d665de85cc699e1b57d17635b3ba0aa7f2,2020-12,Gwent Police,Gwent Police,-3.230332,51.682761,On or near ALFRED STREET,W01001339,Caerphilly 004D,Investigation complete; no suspect identified
e06e3075b10787842e4b2eb8f9cb88205a51493d0a3d550a2f10e2308b1b21db,2020-12,Gwent Police,Gwent Police,-3.223705,51.792014,On or near Petrol Station,W01001438,Blaenau Gwent 004A,Investigation complete; no suspect identified
ab3a552a5fbafde22d9b6f6f221dddc9ac43ecebd667d7b211d1bd2e92db9bfb,2020-12,Gwent Police,Gwent Police,-2.924372,51.591642,On or near HALLE CLOSE,W01001667,Newport 010C,Investigation complete; no suspect identified
b21f2a3701e6c65c2e2ba338d97a250dc916f55b088c1ebd76bbb4e81d5c4a64,2020-12,Gwent Police,Gwent Police,-3.083007,51.600814,On or near MAPLE GARDENS,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
d2f4b4729b7936f8a9f7f3226de30c30c200e2680f282a34a62b9a7d3f75bb07,2020-12,Gwent Police,Gwent Police,-2.984479,51.595550,On or near USK STREET,W01001676,Newport 007B,Investigation complete; no suspect identified
557ef9c79afd0d618a310e4d3648b0e55cfc6602bd73d24463c56a3fa7dc056f,2020-12,Gwent Police,Gwent Police,-2.962527,51.589699,On or near BEECHWOOD CRESCENT,W01001608,Newport 008B,Investigation complete; no suspect identified
fdaac44a40730c2a2cb819a35b2c5f3200386ae19b9572d67b690177e1b43bb2,2020-12,Gwent Police,Gwent Police,-2.697437,51.621156,On or near ST TEWDRICS PLACE,W01001590,Monmouthshire 009D,Investigation complete; no suspect identified
561504f70cc391d87fc24d417239e350929e43386cf46be7f58b916bea37a567,2020-12,Gwent Police,Gwent Police,-3.178323,51.618914,On or near Parking Area,W01001431,Caerphilly 015C,Investigation complete; no suspect identified
8cfcd6291c6f778bd57c51312025fead937b56fe967a279c8f29d32f70c69fe8,2020-12,Gwent Police,Gwent Police,-3.055079,51.713922,On or near HEOL RHYDD-DAL,W01001529,Torfaen 003B,Investigation complete; no suspect identified
4595ac88875b9ed7e7c00b00d69ddb2e817869067bd58cd36abd0b7641183470,2020-12,Gwent Police,Gwent Police,-2.663860,51.658224,On or near MOYLE OLD SCHOOL LANE,E01022274,Forest of Dean 010D,Investigation complete; no suspect identified
