Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bdb2ff8323c54988b5c5b86d2ce91a85dff0cc265a29ec1a4a2d7c1281c20205,2021-01,Gwent Police,Gwent Police,-3.187296,51.799761,On or near HEOL HELIG,W01001447,Blaenau Gwent 002B,Investigation complete; no suspect identified
db1ce8650f30bce9ec4fa3e07435b9b963d4d3866f856a728e9b878a0ddb6a1b,2021-01,Gwent Police,Gwent Police,-3.144100,51.669839,On or near ASHFIELD ROAD,W01001383,Caerphilly 010D,Investigation complete; no suspect identified
cc52b520313e187049c9337f62bd733ff77b3394df4d7f0934d3b4c10534cafb,2021-01,Gwent Police,Gwent Police,-2.717767,51.810731,On or near MONNOW STREET,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
9a7747e0fbff62d560d16f5899ecb1c167544a9e147dc6a93215cb29280dc8f3,2021-01,Gwent Police,Gwent Police,-3.178477,51.675011,On or near PARK LANE,W01001392,Caerphilly 009D,Investigation complete; no suspect identified
b47315487754cfb9759487d5aff01913593c9530fdcbbe6f9112fba37e19bc9c,2021-01,Gwent Police,Gwent Police,-3.038049,51.644039,On or near LANGSTONE COURT,W01001532,Torfaen 010E,Investigation complete; no suspect identified
cbff6363b0904916165cc3f7195cec09d765924c7d36da86251604f219b57339,2021-01,Gwent Police,Gwent Police,-3.226186,51.694718,On or near MOUNT PLEASANT STREET,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
16b27534acdc5f7729a338467c2d6486f6e1503aae4e8598387ccd0701f1f51a,2021-01,Gwent Police,Gwent Police,-3.021079,51.557032,On or near Supermarket,W01001689,Newport 019D,Investigation complete; no suspect identified
af26018d6491b2d42f40d120e4ae94c0b8727abc650357437e89d9ca96706362,2021-01,Gwent Police,Gwent Police,-3.175681,51.797567,On or near BAILEY STREET,W01001467,Blaenau Gwent 005D,Investigation complete; no suspect identified
9b4c3b57fab02f377c172d85cb4543fb0f7218369200d237971f9ce528065579,2021-01,Gwent Police,Gwent Police,-3.002070,51.840697,On or near HEREFORD ROAD,W01001571,Monmouthshire 001D,Investigation complete; no suspect identified
c8fbbd640603964adb0806537035133bbf1cebf40fcd984516b1b3638bb7033b,2021-01,Gwent Police,Gwent Police,-3.069252,51.731813,On or near AMBLESIDE,W01001485,Torfaen 002D,Investigation complete; no suspect identified
