Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2a3eccf74dfa8fb1ea4f3cc77a7fcb0356bec4ab735256d16285152bc6e96ea0,2020-05,Gwent Police,Gwent Police,-3.057450,51.586517,On or near Parking Area,W01001672,Newport 009C,Investigation complete; no suspect identified
0e9e8097a95c1ddd9dfda020a4123856cfcdd6e47d226cdf229fc30124bbdfc1,2020-05,Gwent Police,Gwent Police,-3.046765,51.711802,On or near LEIGH ROAD,W01001531,Torfaen 003D,Investigation complete; no suspect identified
78876df283fc1dae0003b5ec939a8e4721c2551c61ad5b60df3b65c4dec1068e,2020-05,Gwent Police,Gwent Police,-3.049557,51.707390,On or near PENYWAIN TERRACE,W01001540,Torfaen 004E,Investigation complete; no suspect identified
b6a96b6cedfffbac031df442b8d78ed85e5a5fddadab5b98698eb9420081afd3,2020-05,Gwent Police,Gwent Police,-3.245191,51.775065,On or near Pedestrian Subway,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
4b0c2304bdf6e3db0d30643523ce65aa21cd4a657f26b3c8a7969b2a09e1726a,2020-05,Gwent Police,Gwent Police,-3.042207,51.698652,On or near Petrol Station,W01001491,Torfaen 004A,Investigation complete; no suspect identified
eff085a97bd3ec5eb065c6f26b9d8fd07fbf75619c0676441bd52e7c7e933e72,2020-05,Gwent Police,Gwent Police,-2.983351,51.598760,On or near ORCHARD STREET,W01001680,Newport 007E,Investigation complete; no suspect identified
4bc637c17cda40a18d41e78283262d370ca41b3e750c1fc304236161a09cd232,2020-05,Gwent Police,Gwent Police,-3.246663,51.771704,On or near UPPER SALISBURY STREET,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
1ee50af4cbf718bd242b0d3f106ec28ecdc60b7d4cf9c8f7987402ee081a8f0d,2020-05,Gwent Police,Gwent Police,-3.239581,51.650131,On or near CLOS BRYN CELYN,W01001432,Caerphilly 013D,Investigation complete; no suspect identified
8fc7391205d5030e8b1732f14b452e655a74ae27dff704c3950fbc05cebe9410,2020-05,Gwent Police,Gwent Police,-3.030940,51.656213,On or near SPRINGVALE WAY,W01001528,Torfaen 010D,Investigation complete; no suspect identified
1c75c387a3809a9215a97e2777fc16d2ec4ef50a56b7934207fd5c2e4a9b09c3,2020-05,Gwent Police,Gwent Police,-3.093752,51.831877,On or near TYR COMMON,W01001561,Monmouthshire 003A,Investigation complete; no suspect identified
0d7318cc2a8962e184e2da09b161f502b6020bc1f40f3ba0967ec3ec86de56f3,2020-05,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Investigation complete; no suspect identified
c64340839cc15ceae3e6b0bffa7a1dc94d1091464bcab39d1e7e75d5c77ba535,2020-05,Gwent Police,Gwent Police,-3.128223,51.592458,On or near ROYAL OAK,W01001343,Caerphilly 021B,Investigation complete; no suspect identified
434206dd2b18ee621787b55a703cdac63d1a519be44f8622ced6567f87a65218,2020-05,Gwent Police,Gwent Police,-3.100845,51.608246,On or near TREDEGAR STREET,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
ce650998f57b7597f06155189700d6fb2e6a392a25d53fde953ae19d3ca85eb4,2020-05,Gwent Police,Gwent Police,-3.270827,51.746548,On or near PEN-Y-CWM,W01001374,Caerphilly 001A,Investigation complete; no suspect identified
f9101ec1e20ca412638a11b37e5209584bf0ab6d162cd2411def238ac5ac84c8,2020-05,Gwent Police,Gwent Police,-3.225186,51.585839,On or near Supermarket,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
9c45153c78f6e176ec087a3a656a434fc0791ed1895f41ed47b01995bd4a50bb,2020-05,Gwent Police,Gwent Police,-3.255191,51.768250,On or near GAINSBOROUGH ROAD,W01001479,Blaenau Gwent 006D,Investigation complete; no suspect identified
70db22b5aae54492560f3737b9eb4ace0603eca8413e5cfad7f7f6458d1f6e0e,2020-05,Gwent Police,Gwent Police,-3.274850,51.606863,On or near CAERPHILLY ROAD,W01001333,Caerphilly 018D,Investigation complete; no suspect identified
e40d4acf0938f62405ff8909cbae9f92bf1049350263904fa536c6d19a67ef79,2020-05,Gwent Police,Gwent Police,-3.190865,51.656579,On or near BLACKWOOD ROAD,W01001403,Caerphilly 011C,Investigation complete; no suspect identified
7b6c60104284c32126c8576cd2366e3d1ef4e612cf6ce553b83f6b75636c7f20,2020-05,Gwent Police,Gwent Police,-3.001401,51.617940,On or near CLAREMONT,W01001651,Newport 002A,Investigation complete; no suspect identified
9ef6f51829aa697289a0083659fe3138fe9cfdc95d6c8c6de79e4b2dc50cadab,2020-05,Gwent Police,Gwent Police,-3.030875,51.579407,On or near AUCKLAND ROAD,W01001604,Newport 012D,Investigation complete; no suspect identified
780994f2b0d7e9ade15bd78e4661d9a9bbce3d8f1d7b720d5fbd711dfe77baac,2020-05,Gwent Police,Gwent Police,-3.051187,51.707780,On or near FOWLER STREET,W01001540,Torfaen 004E,Investigation complete; no suspect identified
c0a928f2929f3100726ef0267556e01b229f4c88bcdc29321c718a3c490f7594,2020-05,Gwent Police,Gwent Police,-2.982250,51.594607,On or near DUCKPOOL ROAD,W01001675,Newport 007A,Investigation complete; no suspect identified
c3b62d1354d6593a5290eed44eaafbdecb3eab4b9da000dda497600746f3c600,2020-05,Gwent Police,Gwent Police,-3.228360,51.669231,On or near HANBURY STREET,W01001415,Caerphilly 008B,Investigation complete; no suspect identified
cc7d220279a7b393d4fea19afb28e11cc74968b1bc21514a8b1bb94026df82bd,2020-05,Gwent Police,Gwent Police,-3.037485,51.612339,On or near MOLE CLOSE,W01001621,Newport 003E,Investigation complete; no suspect identified
b8ec3eef0aec340fe992915f3a74c8ebf70ab2947fa7ee6f340ae3183caa5f66,2020-05,Gwent Police,Gwent Police,-3.032677,51.645498,On or near GREENMEADOW CLOSE,W01001527,Torfaen 010C,Investigation complete; no suspect identified
70067d70a383bc84c0d0d48133921ec0ca2ee7a9c9e58a4264c64cc836263ccf,2020-05,Gwent Police,Gwent Police,-3.125980,51.806101,On or near QUARRY ROAD,W01001562,Monmouthshire 003B,Investigation complete; no suspect identified
2db8c8da9b67e8dcc302e90d2565895ec9586cab370d1f5ac5d7bf3a7a700913,2020-05,Gwent Police,Gwent Police,-2.682555,51.644962,On or near ST MAUR GARDENS,W01001585,Monmouthshire 007C,Investigation complete; no suspect identified
75e8218ae94927815393a9651966574261225cf7dec2efd11164e84606f1473b,2020-05,Gwent Police,Gwent Police,-3.054665,51.654456,On or near BRISTOL VIEW CLOSE,W01001502,Torfaen 011E,Investigation complete; no suspect identified
4f94bb4147216d98227f9aad2092adb78c9d1dffb9452c2974b99089c99fa09a,2020-05,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Investigation complete; no suspect identified
df4bcf9d798fc7b89eab5dd7181fd6f90700cad635811f7bf10f5c09899ad0ad,2020-05,Gwent Police,Gwent Police,-3.053050,51.584722,On or near Petrol Station,W01001671,Newport 016D,Investigation complete; no suspect identified
8797146cb8ba9f2017be8ea8fd51b9c30c7c4eec7a61616bff79cee8ba7c48fb,2020-05,Gwent Police,Gwent Police,-2.992140,51.586683,On or near KINGSWAY,W01001687,Newport 014D,Investigation complete; no suspect identified
419cd188ebc922c70ce77d36f4829cfd213a83c302b11934104e6c2c9c025529,2020-05,Gwent Police,Gwent Police,-2.964252,51.585243,On or near CONWAY CROFT,W01001611,Newport 011A,Investigation complete; no suspect identified
5b5ec98450cee1f7be00c7b6f2c31121fa6a379db9ae07f595c3d700d6f71086,2020-05,Gwent Police,Gwent Police,-3.026958,51.608592,On or near MONNOW WAY,W01001617,Newport 003A,Investigation complete; no suspect identified
422466c7e4d697783461df54b3f4b51d6c18821e6c0e5b6ab6eab08e204b6447,2020-05,Gwent Police,Gwent Police,-3.228286,51.681433,On or near PARK PLACE,W01001362,Caerphilly 003C,Investigation complete; no suspect identified
806f1ba75207d9cf8943f5cbffdfe98b5af9737ef6d28d429d95a118d9d092e3,2020-05,Gwent Police,Gwent Police,-3.228311,51.680219,On or near VICTORIA PLACE,W01001362,Caerphilly 003C,Investigation complete; no suspect identified
