Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0709f87a9dbf2a84c7b4057f64c24f6b5166c4d1ee945d18a48e64055f5c33c4,2021-02,Gwent Police,Gwent Police,-3.221625,51.799823,On or near RHONDDA CLOSE,W01001471,Blaenau Gwent 001E,Unable to prosecute suspect
5fe9938d86252924e93327aaac039d7067deced2d0f4e21f17d63d1c553c4d1d,2021-02,Gwent Police,Gwent Police,-3.048043,51.716377,On or near ORCHARD CLOSE,W01001530,Torfaen 003C,Unable to prosecute suspect
df30e361729883baa7374719d4a9f7691f9ac7a9df7cdb74e5442f1c7a689bd2,2021-02,Gwent Police,Gwent Police,-3.253190,51.767148,On or near BRANGWYN ROAD,W01001479,Blaenau Gwent 006D,Suspect charged
1f8b55e682bcbfa13a676461d335ecc3e5ea69ff4d3cf7b88ef1d85af8cb674a,2021-02,Gwent Police,Gwent Police,-2.993072,51.581765,On or near CARDIFF ROAD,W01001687,Newport 014D,Suspect charged
58c564debbdcfe7bafa9a1016efb511ee9435166cf8eea6cc9e48461bc1430e1,2021-02,Gwent Police,Gwent Police,-3.084410,51.778888,On or near RIFLE STREET,W01001488,Torfaen 001B,Suspect charged
e18b63134440534b28745d3bf706974fa9e2db5cc0b84af44de6390c7015609c,2021-02,Gwent Police,Gwent Police,-3.049663,51.598744,On or near CROESLLANFRO GARDENS,W01001669,Newport 009A,Unable to prosecute suspect
6689cfed2e2c1c70e123e630b62e057c7e9713c2b374fbb659d967a6006ac197,2021-02,Gwent Police,Gwent Police,-3.246663,51.771704,On or near UPPER SALISBURY STREET,W01001481,Blaenau Gwent 006E,Unable to prosecute suspect
a11f20523abfa7702b4f6b444c55e2f01b7fb766648ce1ba79377a12af80a214,2021-02,Gwent Police,Gwent Police,-3.048043,51.716377,On or near ORCHARD CLOSE,W01001530,Torfaen 003C,Unable to prosecute suspect
88eca81a722b88f5e9a3d0c78a3a60743a64498a508b559daf8778b5d9612446,2021-02,Gwent Police,Gwent Police,-3.171402,51.460520,On or near WINDSOR ESPLANADE,W01001943,Cardiff 048B,Unable to prosecute suspect
55e25e9b02045ec17968ba522acf5a7543d50da7bf9e35f74c035fb07581e78e,2021-02,Gwent Police,Gwent Police,-3.166040,51.785282,On or near BEACON VIEW,W01001468,Blaenau Gwent 005E,Unable to prosecute suspect
4fc3f86b7dadbe1c4657b307001b3b25ec488acbe418afa646a67ccd49463256,2021-02,Gwent Police,Gwent Police,-3.139242,51.730939,On or near CARLYLE STREET,W01001435,Blaenau Gwent 008A,Unable to prosecute suspect
6daaa93e6af78ebcc7c8090267a209706831cc57c44f518cd0ba150945990f02,2021-02,Gwent Police,Gwent Police,-3.013540,51.571502,On or near CARDIFF ROAD,W01001629,Newport 017A,Suspect charged
c3698852bc3c4b59ce868a4e0da57bd5dfb680f69d6d14f76bff6e18e2397bdd,2021-02,Gwent Police,Gwent Police,-3.181078,51.741577,On or near CWM TERRACE,W01001450,Blaenau Gwent 007A,Unable to prosecute suspect
a44c863b988983410b001f1398d7a0ac8e8127d153027c7978c799c1f94d37c8,2021-02,Gwent Police,Gwent Police,-3.234420,51.712858,On or near A469,W01001385,Caerphilly 002D,Suspect charged
85a5be740b2f61c6b42e51725f2aa1149c68a29abd1cd74b6a9527e028428144,2021-02,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
71660bf3061ab67cbf1b9416f79a82108be509ba9d4eb23ed99d2e8b8b78a026,2021-02,Gwent Police,Gwent Police,-2.730744,51.814904,On or near PATTERSON WAY,W01001553,Monmouthshire 004B,Local resolution
cff3dd94786ed61fd2647b19d155468e9e8db0e46aead37bc72fbcba717df0c8,2021-02,Gwent Police,Gwent Police,-2.992315,51.582113,On or near COMMERCIAL ROAD,W01001687,Newport 014D,Suspect charged
fc6814671a7dfe8cb3d856a819fd3c19563a5b587fe716d529daf1bea2f1d274,2021-02,Gwent Police,Gwent Police,-3.162064,51.768804,On or near CAE'R-ODYN,W01001443,Blaenau Gwent 005A,Suspect charged
b35ad92c0c332b6639abed0dc27cf42a7f6c8a9dc2e8f01892bd9fd2e8cbf823,2021-02,Gwent Police,Gwent Police,-2.967044,51.617509,On or near HADRIAN CLOSE,W01001626,Newport 001D,Unable to prosecute suspect
756424c75894c0dde08b249436720a6e70191e5a73343e125b16ffb114529843,2021-02,Gwent Police,Gwent Police,-3.042019,51.645739,On or near WINDSOR ROAD,W01001498,Torfaen 011B,Unable to prosecute suspect
d65a65ede31bd5c4e6a428f8bd8a2926e9b4b3274b55ed2627aeed1cae7cfea3,2021-02,Gwent Police,Gwent Police,-2.993638,51.595158,On or near WHEELER STREET,W01001681,Newport 006B,Unable to prosecute suspect
b55f8f509c619065e1a2679e4bd4e956ae3ee2b7247dc2210d58580d5734633d,2021-02,Gwent Police,Gwent Police,-3.126430,51.621491,On or near CARLTON TERRACE,W01001354,Caerphilly 014D,Suspect charged
4cc9f93a154d68dca965e34b583cdbb0755069c0aba866824057860a8be34d89,2021-02,Gwent Police,Gwent Police,-3.061791,51.638953,On or near PARK CLOSE,W01001533,Torfaen 012B,Unable to prosecute suspect
b4fef4d23edb614d890d2a60159cbd897d704989720b73c4f983a948535c9314,2021-02,Gwent Police,Gwent Police,-2.875611,51.827078,On or near TROTHY WAY,W01001568,Monmouthshire 005C,Suspect charged
