Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8c5d7e09a7b93b4e224cd25ffd0caf8313f99d5f3e01394c33915aa700879d13,2020-08,Gwent Police,Gwent Police,-3.159967,51.596950,On or near PENLLWYN LANE,W01001346,Caerphilly 020D,Investigation complete; no suspect identified
ac354a181b465bff198e47fa048cad3ca2aad843a527e985b9e22de3d6b0cc84,2020-08,Gwent Police,Gwent Police,-3.044140,51.583912,On or near EBENEZER DRIVE,W01001671,Newport 016D,Investigation complete; no suspect identified
83b698eabd1cbbc957c0946b81eb95fd5cbeae45aa747ddbcb790ffc70db9160,2020-08,Gwent Police,Gwent Police,-2.974840,51.589669,On or near KENSINGTON GROVE,W01001612,Newport 011B,Investigation complete; no suspect identified
2cfa7a32d2b6b3b090091dacbe87341dd8d63bd78de072c8e6e22ec9e6813173,2020-08,Gwent Police,Gwent Police,-3.042744,51.714428,On or near COBNER CLOSE,W01001530,Torfaen 003C,Investigation complete; no suspect identified
4884a32e3cea4c05d88b035011208d7f52265343c89d1d27950f65358a0cda03,2020-08,Gwent Police,Gwent Police,-3.132731,51.732863,On or near POWELL STREET,W01001437,Blaenau Gwent 008C,Investigation complete; no suspect identified
7ad57ddea38cd590caecf1500101be83086acd80eb3c9ec1e15b5af9dd49c7d6,2020-08,Gwent Police,Gwent Police,-3.000692,51.581764,On or near ABBOTS MEWS,W01001686,Newport 014C,Investigation complete; no suspect identified
6fe5086e72fa9fceef89cb4037a68de31be20b9f757a09f40ebfcd196a498159,2020-08,Gwent Police,Gwent Police,-3.030843,51.643626,On or near COCKER AVENUE,W01001532,Torfaen 010E,Investigation complete; no suspect identified
f495fe76bc4e3fd4a9ed0fd428a9bd4abbe34702efdd8501d52faa0625b9fdb6,2020-08,Gwent Police,Gwent Police,-2.991607,51.580123,On or near Parking Area,W01001662,Newport 018D,Investigation complete; no suspect identified
9d0963b58f39ef81c33ea40b8a7e643978391c2844600ec91e57d6879f1ed2d6,2020-08,Gwent Police,Gwent Police,-3.000692,51.581764,On or near ABBOTS MEWS,W01001686,Newport 014C,Investigation complete; no suspect identified
575b2965a401fd3c1d378342f560c05371be5c37fd316da4a792b2eef9d5bbe9,2020-08,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Investigation complete; no suspect identified
f2f9cb80b98be43b168a61e82783e477f6b224a4be0c7183e129b86caacefa7f,2020-08,Gwent Police,Gwent Police,-3.045576,51.595543,On or near CABAN CLOSE,W01001669,Newport 009A,Investigation complete; no suspect identified
8fa5b00401f051f1f3eb143b2c15b86f29d930e8149d1e2a47631500d3a6ca86,2020-08,Gwent Police,Gwent Police,-3.165502,51.783534,On or near GWENT TERRACE,W01001468,Blaenau Gwent 005E,Investigation complete; no suspect identified
77aae1418fece0e9af3f12a838d389b4e75649d96bb6c25227b14999adca6591,2020-08,Gwent Police,Gwent Police,-3.204400,51.798319,On or near BLAEN CENDL,W01001442,Blaenau Gwent 001C,Investigation complete; no suspect identified
f6d9df0223482f192935bb64d6b76ca60c05361d670bbe336854b0371ab3ecc7,2020-08,Gwent Police,Gwent Police,-3.231129,51.569681,On or near Hospital,W01001426,Caerphilly 024E,Investigation complete; no suspect identified
37e6098f8059851ac385dc1ec79304aee1e8691d167131af66b53fdb1c15b6d2,2020-08,Gwent Police,Gwent Police,-2.979847,51.584907,On or near WITHAM STREET,W01001690,Newport 013D,Investigation complete; no suspect identified
f21ea371918f3bc4db477048b8d2394e1afaaf46bcf90e1704843b575af858b0,2020-08,Gwent Police,Gwent Police,-2.974840,51.589669,On or near KENSINGTON GROVE,W01001612,Newport 011B,Investigation complete; no suspect identified
145c679ed02074f45698cab3d2be8635bcbc9a32e5f1d9e9e08a877c2c888aa2,2020-08,Gwent Police,Gwent Police,-3.236664,51.637511,On or near Sports/Recreation Area,W01001434,Caerphilly 013F,Suspect charged
cce9d2854ff3cbb2334c732909efe08d94a3a78f1a41df6dc4119aa59651afde,2020-08,Gwent Police,Gwent Police,-2.987163,51.590159,On or near CEDAR ROAD,W01001693,Newport 013E,Unable to prosecute suspect
bcb77cfeaa9e7bb5d942ac3fdda8b5f2619b0bd45f0056ce243ca50f3b90c6af,2020-08,Gwent Police,Gwent Police,-3.025394,51.660254,On or near HAROLD STREET,W01001521,Torfaen 007C,Suspect charged
a805e60a3d0d8814644275d6050ff90b193cac6952c86e40bdd002dd318a5717,2020-08,Gwent Police,Gwent Police,-2.974275,51.581500,On or near GASKELL STREET,W01001644,Newport 013C,Unable to prosecute suspect
206342eb4ba4df9f5457ab6e9239248a9c868389d3ed9f74df393b97f7bbf9aa,2020-08,Gwent Police,Gwent Police,-2.927334,51.771592,On or near Parking Area,W01001566,Monmouthshire 005A,Offender given a drugs possession warning
ce660c5803c74310b3b5e6667c5362fba6d3c66d4b0f16b30f8cc13263ff51be,2020-08,Gwent Police,Gwent Police,-3.221711,51.796558,On or near HEOL WAEN,W01001471,Blaenau Gwent 001E,Unable to prosecute suspect
38e1b5a4f08cc14cae4321ff04115bc95ded542b3846c8722e71e7c39a86a239,2020-08,Gwent Police,Gwent Police,-2.995986,51.578387,On or near LEWIS CLOSE,W01001662,Newport 018D,Unable to prosecute suspect
72825f9774196f8230668b015b82076264c1399541558d48bab2939294cde8eb,2020-08,Gwent Police,Gwent Police,-3.041181,51.660897,On or near GOLYGFAN,W01001538,Torfaen 009D,Unable to prosecute suspect
14978e838eeb7b2c59ccb1277374e06e954a4319da0cbbbc2152ad3a10c3815a,2020-08,Gwent Police,Gwent Police,-2.990190,51.591276,On or near EAST USK ROAD,W01001693,Newport 013E,Unable to prosecute suspect
09724e776fc927db887300201a74a3f0e9f0cc0bb3a0181c8d720a532c019e64,2020-08,Gwent Police,Gwent Police,-3.046388,51.697986,On or near ALBION ROAD,W01001541,Torfaen 004F,Offender given a drugs possession warning
2219630541311355786ff0c058172a504b11236e2eaa3c401a63b902acbc9bf5,2020-08,Gwent Police,Gwent Police,-2.891693,51.593999,On or near WILLOW DRIVE,W01001650,Newport 004E,Unable to prosecute suspect
597481d3cb613838c3305311a06b77f3ab9a228ba39692b01bf911dc6c9654f3,2020-08,Gwent Police,Gwent Police,-2.987886,51.575551,On or near Parking Area,W01001659,Newport 018A,Suspect charged
9bf8fd8f0294590953e784d87182a9ca07b114ae45f98807c6e43f2bcc3d07ff,2020-08,Gwent Police,Gwent Police,-3.076831,51.595512,On or near VIOLET WALK,W01001636,Newport 020A,Offender given a drugs possession warning
a5c07f67dcc87b04d4a3bef80decada314fe00b2272fc0e7fcbe97b9e3fb9ea4,2020-08,Gwent Police,Gwent Police,-2.949465,51.588384,On or near DELIUS CLOSE,W01001610,Newport 015C,Unable to prosecute suspect
46410e96e5d9552a6c418bab6c856ac2ce5b02a2f60e5750df7f2e5ad670d8bd,2020-08,Gwent Police,Gwent Police,-3.245191,51.775065,On or near Pedestrian Subway,W01001481,Blaenau Gwent 006E,Suspect charged
b1985dd81accdadf10afc959a0a525501dab1946d3691cf2c50878767294075c,2020-08,Gwent Police,Gwent Police,-3.237433,51.591429,On or near PENTWYN,W01001400,Caerphilly 019F,Unable to prosecute suspect
1639cf552572cf3e6b000db8b4ef20190d70094bc9c03cea10e74ab9fd3f64d0,2020-08,Gwent Police,Gwent Police,-3.040635,51.665434,On or near YSGOL PLACE,W01001537,Torfaen 007E,Suspect charged
21b29e3d9e30f59f25b76162d8470fdf989876b03d31f17ea641db1d6d6beef6,2020-08,Gwent Police,Gwent Police,-3.276997,51.608224,On or near COMMERCIAL STREET,W01001332,Caerphilly 018C,Suspect charged
8521a5fe3ff392f17dc41a67a3e9adeebf77a2f47ad12abea728abe7a7521766,2020-08,Gwent Police,Gwent Police,-3.204197,51.655616,On or near MYNYDDISLWYN CLOSE,W01001402,Caerphilly 011B,Suspect charged
0a8b66afe1c950ac128ee475738f03ee73027a5314443e41bb4579a2a4b4ccea,2020-08,Gwent Police,Gwent Police,-3.229145,51.571015,On or near ST HELEN'S COURT,W01001423,Caerphilly 024B,Suspect charged
630791190d3887798253564a0584b428415ddd21d4e51cd7b7e6758ef9683151,2020-08,Gwent Police,Gwent Police,-3.016913,51.557805,On or near HENRY MORGAN CLOSE,W01001688,Newport 019C,Suspect charged
bd3f5beed799f77c46c91696f38eebd1c6aff98f37ee89a00a16e41640bb8faf,2020-08,Gwent Police,Gwent Police,-3.228599,51.579140,On or near HEOL-Y-NANT,W01001370,Caerphilly 023A,Unable to prosecute suspect
ab42ea2a347a62875d0337c55d8f9c18101c0156035cd1ffddef82e012d44db9,2020-08,Gwent Police,Gwent Police,-3.132074,51.726854,On or near VIVIAN STREET,W01001436,Blaenau Gwent 008B,Unable to prosecute suspect
f34919b079641225a955fdf8ce885061a0d6509d0adf7570d2bbf1cc25a30a29,2020-08,Gwent Police,Gwent Police,-3.126740,51.622342,On or near OAK TERRACE,W01001354,Caerphilly 014D,Unable to prosecute suspect
876714c2364b0597d4239b08133c1d6ff75e96a6258abb72964f7a302ecc8aff,2020-08,Gwent Police,Gwent Police,-3.236664,51.637511,On or near Sports/Recreation Area,W01001434,Caerphilly 013F,Suspect charged
22c35b2d2978c207699c5c856f6a65212cedcaa4c26302ca84677b13a8bda694,2020-08,Gwent Police,Gwent Police,-3.233086,51.656872,On or near FOREST AVENUE,W01001363,Caerphilly 012A,Suspect charged
dac033c7815eea5c89c321c5b98252a1d2d1640fd0972394afa98876f0dd44c9,2020-08,Gwent Police,Gwent Police,-3.147063,51.615977,On or near Parking Area,W01001430,Caerphilly 015B,Suspect charged
605ec7a094dc27ec32a3dbec7630f0e1e6e6ea1758ef4df8dc1d34beacfb56eb,2020-08,Gwent Police,Gwent Police,-3.147063,51.615977,On or near Parking Area,W01001430,Caerphilly 015B,Suspect charged
71e7dcc1148f06e6e82ed92d290b2015fa0ae9f3f6d85e84480f2b402a7e66ff,2020-08,Gwent Police,Gwent Police,-3.838195,51.668892,On or near DARRAN PARK,W01000923,Neath Port Talbot 007D,Suspect charged
4ae51b9f01160bca79f454aa71ebb02ba2b77617e3f8a2f2378b05279484850b,2020-08,Gwent Police,Gwent Police,-3.190351,51.593355,On or near BRYN CLOSE,W01001341,Caerphilly 020B,Offender given a drugs possession warning
db603b44aed72cf592c8f723892fcca82f9d0e8195b7c75d14487aecfa3e8297,2020-08,Gwent Police,Gwent Police,-3.005838,51.646783,On or near PENRICE GREEN,W01001507,Torfaen 008D,Unable to prosecute suspect
