Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0ba8ee4db185b4656325dcbddc1f255a67599e13750efba6af7bc311bbda4efa,2020-06,Gwent Police,Gwent Police,-2.979484,51.592840,On or near FAIROAK AVENUE,W01001691,Newport 011D,Investigation complete; no suspect identified
927277119b399765ca20fcaf2d052a89138faaa00c9bf702aa5e18cb3bb6a956,2020-06,Gwent Police,Gwent Police,-3.227904,51.712782,On or near Parking Area,W01001385,Caerphilly 002D,Investigation complete; no suspect identified
4b34397502efd61fed1fd570645a349e27e6b043542cbfbde38d41295a65f5e6,2020-06,Gwent Police,Gwent Police,-3.047635,51.656119,On or near SIRHOWY COURT,W01001536,Torfaen 009C,Investigation complete; no suspect identified
31f144296b7cb9c69dc817988e76045d95dca002c942f82279a43622185bc282,2020-06,Gwent Police,Gwent Police,-3.228131,51.643652,On or near Petrol Station,W01001433,Caerphilly 013E,Investigation complete; no suspect identified
082226995bde324da176e82a1aa70d241db3d62b9c85ffd8455b2513715fbb50,2020-06,Gwent Police,Gwent Police,-2.980086,51.594643,On or near LEICESTER ROAD,W01001675,Newport 007A,Investigation complete; no suspect identified
5a6752871c8123ce5d164846a2b32f1af065455519bef56b4adb36d44290e551,2020-06,Gwent Police,Gwent Police,-3.074615,51.596396,On or near PETUNIA WALK,W01001636,Newport 020A,Investigation complete; no suspect identified
a3c0c73030408e76e090e6107f970f95652b4a518bc24e9c6841ba5934ff9251,2020-06,Gwent Police,Gwent Police,-3.066118,51.730951,On or near BLUETT'S LANE,W01001484,Torfaen 002C,Investigation complete; no suspect identified
a94a83919b8b917267ebff028e741fec3a3acedd6be579a200de959418c0918d,2020-06,Gwent Police,Gwent Police,-3.009226,51.572177,On or near Supermarket,W01001629,Newport 017A,Investigation complete; no suspect identified
0c3168b987b03152a49151c445284a057c9641e365f0520ab9312e3a941bcf18,2020-06,Gwent Police,Gwent Police,-2.979524,51.734124,On or near FRONDEG,W01001556,Monmouthshire 006B,Investigation complete; no suspect identified
d71c7fd0e47df4e217432dd4a7649bd5b665c1b79686aace5a6bc23abc19ed99,2020-06,Gwent Police,Gwent Police,-3.270650,51.784080,On or near Parking Area,W01001474,Blaenau Gwent 003C,Investigation complete; no suspect identified
4a0d0874c534844973dd544875a1397cac8f8114eac92a0db343a082e4dd7e14,2020-06,Gwent Police,Gwent Police,-3.219455,51.697854,On or near HIGHFIELD CRESCENT,W01001325,Caerphilly 003A,Investigation complete; no suspect identified
a2051708b5cf1622adbef0e74e9cda285d2103bae99220b09e01d6995ee8dbc7,2020-06,Gwent Police,Gwent Police,-2.890338,51.608117,On or near COOPER CLOSE,W01001641,Newport 004C,Investigation complete; no suspect identified
3acff8493e8ad3c817b0145362a75ae8e0b8d409fb0c2b97fb4fefeb8909cda5,2020-06,Gwent Police,Gwent Police,-3.045972,51.647952,On or near Pedestrian Subway,W01001503,Torfaen 009B,Investigation complete; no suspect identified
2a65ceb617065180347c6e73451cfc8b1bc193ec10c1f54a70440575da0149a5,2020-06,Gwent Police,Gwent Police,-3.192296,51.799638,On or near TWYNCYNGHORDY ROAD,W01001440,Blaenau Gwent 001A,Investigation complete; no suspect identified
5f8e85fff05b63220eb815f2c48485cd1f9e166f5e997428f99c6e31a5f83c9a,2020-06,Gwent Police,Gwent Police,-3.039138,51.588596,On or near CWRT CAMLAS,W01001674,Newport 009E,Investigation complete; no suspect identified
8ac03b6d04a6f8164f1c335030df46f8ff477a5e371b6531d3066e4ecb32cb72,2020-06,Gwent Police,Gwent Police,-3.092443,51.601752,On or near B4591,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
c91b6c0804cc35ef92b2374af0956a7620aec771920a3cdc5cab5ac18bd23f16,2020-06,Gwent Police,Gwent Police,-2.984289,51.602080,On or near STOCKTON ROAD,W01001677,Newport 007C,Investigation complete; no suspect identified
af1ae40bd511e24a7b78f601b7049e306c45c4842c2ebdccd176804a9d49e8a1,2020-06,Gwent Police,Gwent Police,-3.279184,51.615646,On or near CENYDD TERRACE,W01001332,Caerphilly 018C,Investigation complete; no suspect identified
f53929f9a40cf0f969b10654ea4f2f53628b7f617f1819fb0f445439a6c055f4,2020-06,Gwent Police,Gwent Police,-3.152540,51.614943,On or near NINE MILE POINT ROAD,W01001430,Caerphilly 015B,Investigation complete; no suspect identified
f93473919a1990a21ec3441db9e9effb856bf9732cc847a96f4ad3dd77eb838d,2020-06,Gwent Police,Gwent Police,-3.033782,51.615276,On or near LEACH ROAD,W01001621,Newport 003E,Investigation complete; no suspect identified
aca10eda43d36124ffea0fabf82da035a0c4da135c4a807c65e51f4b97fb9cb5,2020-06,Gwent Police,Gwent Police,-3.264697,51.672235,On or near HEOL ADAM,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
918e4321aa7eec452036417aab1090e622b9a31874845b9bbbbaf6251beac361,2020-06,Gwent Police,Gwent Police,-3.233418,51.679743,On or near HILLSIDE GARDENS,W01001362,Caerphilly 003C,Investigation complete; no suspect identified
2325050b06a2bf6d03a495763dabcb0de32263e45867a354cbc25f7081d0c91a,2020-06,Gwent Police,Gwent Police,-3.134579,51.700845,On or near SPRINGFILD TERRACE,W01001466,Blaenau Gwent 009C,Investigation complete; no suspect identified
792c73856acd0b29b5f1c79125519701af590005d218b7c657c3155f03cb25f2,2020-06,Gwent Police,Gwent Police,-3.287161,51.763670,On or near COLENSO TERRACE,W01001375,Caerphilly 001B,Investigation complete; no suspect identified
d1f3750122cd183ad775650ef7839ab0222ccc94a19b368b0d526e75c6f82c7f,2020-06,Gwent Police,Gwent Police,-3.046285,51.716096,On or near ELMHURST CLOSE,W01001530,Torfaen 003C,Investigation complete; no suspect identified
200a4cbc99b3ff3f5547a8759df252dbfec7396c2d7a878e6196026eb107515b,2020-06,Gwent Police,Gwent Police,-3.157819,51.759791,On or near LANCASTER STREET,W01001445,Blaenau Gwent 005C,Investigation complete; no suspect identified
aad0b2219f42a36bbf552a60663d877fa3c53bff5630827fe4fd4983bbc5af02,2020-06,Gwent Police,Gwent Police,-2.946946,51.593566,On or near MENDIP CLOSE,W01001665,Newport 008D,Investigation complete; no suspect identified
0cdc75a6f41b438c3ac0611372fe3c1bd5f056d36716d907ebc43d05c274faf9,2020-06,Gwent Police,Gwent Police,-3.020983,51.608096,On or near ELAN CLOSE,W01001618,Newport 003B,Investigation complete; no suspect identified
94e023fee82d6aefca94224a86a9052b548e68f569f18917905fb166230539b3,2020-06,Gwent Police,Gwent Police,-2.943894,51.575877,On or near Supermarket,W01001646,Newport 015E,Investigation complete; no suspect identified
9c132d5da849ab3e516a93281acc2d70973e69a07867433437213ad107600066,2020-06,Gwent Police,Gwent Police,-3.002070,51.840697,On or near HEREFORD ROAD,W01001571,Monmouthshire 001D,Investigation complete; no suspect identified
e6087d486f87026c172138a2d6d6e09b99136115b705e7c888e6fbb5df87cb28,2020-06,Gwent Police,Gwent Police,-3.209251,51.783424,On or near Pedestrian Subway,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
0a58db35239a74705b42bbece22ec7a68e2416b68855f6d6a8b9bb27196c0b8e,2020-06,Gwent Police,Gwent Police,-2.775812,51.587143,On or near GRENVILLE TERRACE,W01001582,Monmouthshire 011D,Investigation complete; no suspect identified
920b1ba6788fe750584e13738590ff4a39593815534b12773f75bf0c17355a47,2020-06,Gwent Police,Gwent Police,-2.964252,51.585243,On or near CONWAY CROFT,W01001611,Newport 011A,Investigation complete; no suspect identified
702e3f11bdf8c64a49cdf3760941ec96264191eff1f610a5dd94868b946bca3a,2020-06,Gwent Police,Gwent Police,-3.159970,51.767368,On or near Supermarket,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
4ea9514268587813df4b7828103fe5b1e9171c1103e64ce8b747d943882f728a,2020-06,Gwent Police,Gwent Police,-2.671898,51.640699,On or near STATION ROAD,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
91e4452ad60ce1feced7a73a58af1bb6b20b019f40be0da93c131e331ddbc613,2020-06,Gwent Police,Gwent Police,-3.177017,51.675592,On or near LLYS CYNCOED,W01001392,Caerphilly 009D,Investigation complete; no suspect identified
f2fb1a04c65dde4817b8405f29c9ac4b19216b2606ff968c32e3e9a92d7c41a1,2020-06,Gwent Police,Gwent Police,-3.006712,51.597519,On or near ALLT-YR-YN WAY,W01001600,Newport 012A,Investigation complete; no suspect identified
cc2085f2485a833790b938fc66aa03f02f4640f38f7902c1266ed7416a5c90af,2020-06,Gwent Police,Gwent Police,-2.994307,51.570902,On or near Sports/Recreation Area,W01001660,Newport 018B,Investigation complete; no suspect identified
ffc97e67d7586b37262094649a940e4eefbe1f0697c9ce2bb2f1933e1278bee4,2020-06,Gwent Police,Gwent Police,-2.993702,51.600067,On or near THE TURNSTILES,W01001683,Newport 006D,Investigation complete; no suspect identified
9058f5d39be59ee22a0b24db94b30351b437d6e3b622b23b811df95cb939f4d0,2020-06,Gwent Police,Gwent Police,-3.231651,51.715881,On or near QUEEN'S ROAD,W01001385,Caerphilly 002D,Investigation complete; no suspect identified
6ecf8c52303d9b1b5fc1eeb4ce211608701ef17112ff702feeb409fca20535db,2020-06,Gwent Police,Gwent Police,-2.998969,51.570323,On or near DOCKS WAY,W01001660,Newport 018B,Investigation complete; no suspect identified
9140a60e5cb632ecefe9c463e4cc0975de9da0bd17ee23d42adbb5c7791d3e39,2020-06,Gwent Police,Gwent Police,-2.896558,51.619669,On or near COED Y CAERAU LANE,W01001641,Newport 004C,Investigation complete; no suspect identified
7066f8bb5bcc46aea2c34e754e336440b92bebd562bec731cfbd5b7efacfa54a,2020-06,Gwent Police,Gwent Police,-3.026147,51.582218,On or near CANBERRA CRESCENT,W01001604,Newport 012D,Investigation complete; no suspect identified
6bf6a2a29085563f2c493f83447c42b5763964551bec63299b2dbee43d2b7be9,2020-06,Gwent Police,Gwent Police,-2.953962,51.577738,On or near MULCASTER AVENUE,W01001648,Newport 015G,Investigation complete; no suspect identified
56fbdaff69a77365ff129e81ef15a8c52a0dd26102a9aff9b8c2a9975be28250,2020-06,Gwent Police,Gwent Police,-2.968906,51.575368,On or near CORPORATION ROAD,W01001647,Newport 015F,Investigation complete; no suspect identified
902b346b4e6cc27489c4d20ae46e7f36b2d8ef27d92f68d87f8e7c1ab4d22cd1,2020-06,Gwent Police,Gwent Police,-2.954225,51.571675,On or near NASH ROAD,W01001647,Newport 015F,Investigation complete; no suspect identified
f021eca9d39e21aeb11f9f5d57014a59f4c3fc165643805b63c4063ba8fc936c,2020-06,Gwent Police,Gwent Police,-3.246665,51.775957,On or near Supermarket,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
3092d8794a841936c914c71f33a2647cfade0e186757240a8b13ee03b13a6226,2020-06,Gwent Police,Gwent Police,-3.264190,51.789995,On or near WAUNDEG,W01001474,Blaenau Gwent 003C,Investigation complete; no suspect identified
87c4b91ab128ac0c8db022e81bcfdf6e387ebefbc46e14787f9a904e129dd830,2020-06,Gwent Police,Gwent Police,-3.023782,51.654837,On or near Supermarket,W01001506,Torfaen 010A,Investigation complete; no suspect identified
